global_step,episode,step_in_ep,avg_r_speed,avg_r_orientation,avg_r_lane,avg_r_collision,avg_r_offroad,avg_r_total,speed_kmh
3705,3,1700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
3755,3,1750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
3805,3,1800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
3855,3,1850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
3905,3,1900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
3955,3,1950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4005,3,2000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4055,4,50,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4105,4,100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4155,4,150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4205,4,200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4255,4,250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4305,4,300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4355,4,350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4405,4,400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4455,4,450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4505,4,500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4555,4,550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4605,4,600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4655,4,650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4705,4,700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4755,4,750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4805,4,800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4855,4,850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4905,4,900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
4955,4,950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5005,4,1000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5055,4,1050,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5105,4,1100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5155,4,1150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5205,4,1200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5255,4,1250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5305,4,1300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5355,4,1350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5405,4,1400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5455,4,1450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5505,4,1500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
5555,4,1550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
