global_step,episode,step_in_ep,avg_r_speed,avg_r_orientation,avg_r_lane,avg_r_collision,avg_r_offroad,avg_r_total,speed_kmh
3611,17,50,0.086,0.9998,0.0,0.0,0.0,1.0858,12.13
3661,17,100,0.2217,0.9855,0.0,0.0,0.0,1.2072,19.67
3755,18,50,0.0581,0.9993,0.0,0.0,0.0,1.0574,15.55
3805,18,100,0.4217,0.9861,-0.2,0.0,0.0,1.2078,20.3
3882,19,50,0.037,0.9999,0.0,0.0,0.0,1.0369,11.97
3932,19,100,0.2204,0.9968,-0.1,0.0,0.0,1.1172,18.17
3982,19,150,0.3928,0.9897,-0.3,0.0,0.0,1.0825,22.26
4032,19,200,0.5296,0.9944,-0.3,0.0,0.0,1.224,22.7
4082,19,250,0.6198,0.9742,-0.4,0.0,0.0,1.194,26.35
4132,19,300,0.6834,0.9136,-0.1,0.0,0.0,1.4969,27.75
4218,20,50,0.1646,0.9954,-0.4,0.0,0.0,0.76,17.3
4268,20,100,0.2754,0.998,-0.5,0.0,0.0,0.7734,17.57
4318,20,150,0.5024,0.8151,0.0,0.0,0.0,1.3174,28.33
4368,20,200,0.6659,0.2651,0.0,0.0,0.0,0.931,26.67
4418,20,250,0.6128,0.7769,0.0,0.0,0.0,1.3897,23.28
4468,20,300,0.5751,0.9975,0.0,0.0,0.0,1.5726,28.51
4560,21,50,0.0964,0.9993,0.0,0.0,0.0,1.0957,16.41
4610,21,100,0.5246,0.9929,0.0,0.0,0.0,1.5174,30.25
4709,22,50,0.1487,0.9985,-0.1,0.0,0.0,1.0471,11.45
4759,22,100,0.3873,0.9839,-0.2,0.0,0.0,1.1711,29.08
4809,22,150,0.7958,0.9292,-0.1,0.0,0.0,1.625,38.63
4880,23,50,0.0196,1.0,0.0,0.0,0.0,1.0196,0.0
4930,23,100,0.0221,1.0,0.0,0.0,0.0,1.022,0.0
4980,23,150,0.073,1.0,0.0,0.0,0.0,1.0729,13.11
5030,23,200,0.3155,0.9979,-0.4,0.0,0.0,0.9133,19.25
5080,23,250,0.6114,0.7743,0.0,0.0,0.0,1.3857,29.5
5158,24,50,0.1245,0.9987,-0.1,0.0,0.0,1.0231,6.97
5208,24,100,0.1379,0.9815,-0.1,0.0,0.0,1.0193,14.72
5258,24,150,0.4984,0.978,-0.2,0.0,0.0,1.2763,26.73
5343,25,50,0.0203,1.0,0.0,0.0,0.0,1.0202,1.27
5393,25,100,0.1618,0.9993,0.0,0.0,0.0,1.1611,21.25
5443,25,150,0.4084,0.9962,-0.1,0.0,0.0,1.3046,18.01
5493,25,200,0.1776,0.957,-0.2,0.0,0.0,0.9345,17.21
5582,26,50,0.1527,0.9983,0.0,0.0,0.0,1.151,17.85
5632,26,100,0.4603,0.7943,0.0,0.0,0.0,1.2545,33.02
5717,27,50,0.0211,1.0,0.0,0.0,0.0,1.0211,3.54
5767,27,100,0.1212,0.9996,0.0,0.0,0.0,1.1209,17.73
5817,27,150,0.2362,0.6562,0.0,0.0,0.0,0.8924,11.88
5867,27,200,0.1782,0.0743,0.0,0.0,0.0,0.2524,17.69
5917,27,250,0.2833,0.1509,0.0,0.0,0.0,0.4342,20.22
6005,29,50,0.0404,0.9999,0.0,0.0,0.0,1.0403,12.33
6055,29,100,0.1934,0.9971,-0.1,0.0,0.0,1.0905,17.81
6105,29,150,0.4435,0.3333,-0.2,0.0,0.0,0.5768,24.05
6155,29,200,0.3976,0.0,-0.2,0.0,0.0,0.1976,18.22
6205,29,250,0.3176,0.0,-0.3,0.0,0.0,0.0176,19.66
6325,31,50,0.02,1.0,0.0,0.0,0.0,1.02,0.0
6375,31,100,0.0206,1.0,0.0,0.0,0.0,1.0205,1.79
6425,31,150,0.0191,1.0,0.0,0.0,0.0,1.0191,2.03
6475,31,200,0.0191,1.0,0.0,0.0,0.0,1.0191,0.02
6525,31,250,0.0197,0.9999,0.0,0.0,0.0,1.0196,0.0
6575,31,300,0.0207,0.9999,0.0,0.0,0.0,1.0207,0.0
6625,31,350,0.0205,1.0,0.0,0.0,0.0,1.0204,1.88
6675,31,400,0.0788,0.9993,0.0,0.0,0.0,1.0782,12.43
6725,31,450,0.165,0.9998,0.0,0.0,0.0,1.1648,14.58
6775,31,500,0.5465,0.9981,-0.2,0.0,0.0,1.3446,30.67
6825,31,550,0.7318,0.9984,-0.2,0.0,0.0,1.5302,24.7
6875,31,600,0.4931,0.67,0.0,0.0,0.0,1.1632,8.17
6968,32,50,0.1199,0.999,0.0,0.0,0.0,1.1189,16.19
7018,32,100,0.1548,0.9994,-0.2,0.0,0.0,0.9542,16.17
7068,32,150,0.6588,0.999,-0.6,0.0,0.0,1.0578,30.52
7156,33,50,0.0349,0.9998,0.0,0.0,0.0,1.0347,12.48
7206,33,100,0.1914,0.9895,-0.2,0.0,0.0,0.9809,17.71
7256,33,150,0.4732,0.9829,-0.5,0.0,0.0,0.9561,23.83
7306,33,200,0.3989,0.3545,-0.1,0.0,0.0,0.6534,18.73
7366,34,50,0.0199,1.0,0.0,0.0,0.0,1.0199,0.35
7416,34,100,0.0197,1.0,0.0,0.0,0.0,1.0197,0.38
7466,34,150,0.0741,0.9999,0.0,0.0,0.0,1.074,16.54
7516,34,200,0.2169,0.9945,0.0,0.0,0.0,1.2114,16.17
7566,34,250,0.2391,0.9947,-0.1,0.0,0.0,1.1338,14.89
7616,34,300,0.2417,0.3188,0.0,0.0,0.0,0.5605,10.71
7666,34,350,0.0261,0.9196,0.0,0.0,0.0,0.9457,9.27
7716,34,400,0.2349,0.6397,0.0,0.0,0.0,0.8746,23.4
7766,34,450,0.7232,0.9991,0.0,0.0,0.0,1.7223,27.8
7816,34,500,0.7179,0.9985,0.0,0.0,0.0,1.7164,28.07
7866,34,550,0.7945,0.6776,-0.1,0.0,0.0,1.3722,30.13
7916,34,600,0.7087,0.0,-0.7,0.0,0.0,0.0087,29.55
7966,34,650,0.7312,0.0,0.0,0.0,0.0,0.7312,30.72
8053,35,50,0.1683,0.9916,-0.1,0.0,0.0,1.06,19.51
8103,35,100,0.2778,0.0958,-0.5,0.0,0.0,-0.1264,16.07
8153,35,150,0.5039,0.0,0.0,0.0,0.0,0.5039,26.37
8203,35,200,0.5944,0.0,-0.2,0.0,0.0,0.3944,28.0
8253,35,250,0.8891,0.6552,-1.1,0.0,0.0,0.4443,33.18
8348,36,50,0.2295,0.9995,0.0,0.0,0.0,1.229,19.9
8398,36,100,0.7374,0.9968,-0.2,0.0,0.0,1.5341,32.68
8448,36,150,0.8416,0.0997,0.0,0.0,0.0,0.9413,29.33
8521,37,50,0.1153,0.9999,0.0,0.0,0.0,1.1153,13.95
8571,37,100,0.0705,0.9985,0.0,0.0,0.0,1.0691,1.17
8621,37,150,0.0195,0.9986,0.0,0.0,0.0,1.0181,0.0
8671,37,200,0.0223,0.9982,0.0,0.0,0.0,1.0205,0.36
8721,37,250,0.0462,0.9988,0.0,0.0,0.0,1.0451,8.3
8771,37,300,0.2688,0.9897,-0.2,0.0,0.0,1.0585,19.85
8821,37,350,0.4162,0.9837,-0.3,-0.2,0.0,0.8999,15.95
8871,38,50,0.0698,1.0,0.0,0.0,0.0,1.0698,17.29
8921,38,100,0.1614,0.9989,0.0,0.0,0.0,1.1603,8.98
8971,38,150,0.1791,0.9864,-0.1,0.0,0.0,1.0655,16.49
9021,38,200,0.3349,0.9166,0.0,0.0,0.0,1.2515,26.25
9102,39,50,0.1349,0.9998,0.0,0.0,0.0,1.1347,22.1
9152,39,100,0.5217,0.979,-0.3,0.0,0.0,1.2007,34.05
9233,40,50,0.1347,0.9997,0.0,0.0,0.0,1.1344,21.42
9283,40,100,0.7461,0.9958,0.0,0.0,0.0,1.7419,39.37
9333,40,150,0.9664,0.9909,0.0,0.0,0.0,1.9573,37.99
9383,40,200,0.936,0.4714,0.0,0.0,0.0,1.4074,46.77
9433,40,250,0.8629,0.0,-0.4,0.0,0.0,0.4629,38.86
9483,40,300,0.9811,0.0,-0.5,0.0,0.0,0.4811,36.22
9533,40,350,0.7659,0.3551,0.0,0.0,0.0,1.121,33.77
9589,41,50,0.0588,0.9995,0.0,0.0,0.0,1.0583,16.14
9639,41,100,0.3101,0.9872,-0.2,0.0,0.0,1.0973,19.48
9689,41,150,0.5757,0.448,0.0,0.0,0.0,1.0238,19.83
9739,41,200,0.3031,0.0832,0.0,0.0,0.0,0.3863,21.46
9810,42,50,0.1941,0.9994,0.0,0.0,0.0,1.1934,22.43
9860,42,100,0.4384,0.983,0.0,0.0,0.0,1.4214,30.05
9910,42,150,0.7726,0.9238,0.0,0.0,0.0,1.6965,34.01
9960,42,200,0.8879,0.9795,-0.4,0.0,0.0,1.4674,28.52
10010,42,250,0.6531,0.8739,0.0,0.0,0.0,1.527,21.11
10097,43,50,0.0333,0.9999,0.0,0.0,0.0,1.0332,10.78
10181,44,50,0.093,0.9999,0.0,0.0,0.0,1.0928,17.47
10231,44,100,0.2021,0.9999,0.0,0.0,0.0,1.202,12.88
10281,44,150,0.2145,0.9943,-0.1,0.0,0.0,1.1088,6.57
10331,44,200,0.0327,0.9819,0.0,0.0,0.0,1.0146,0.0
10381,44,250,0.021,0.9842,-0.1,0.0,0.0,0.9052,2.13
10431,44,300,0.3354,0.9943,0.0,0.0,0.0,1.3297,18.18
10481,44,350,0.0362,0.9885,0.0,0.0,0.0,1.0247,0.0
10531,44,400,0.0193,0.9883,0.0,0.0,0.0,1.0076,0.0
10581,44,450,0.0205,0.9878,0.0,0.0,0.0,1.0083,0.0
10631,44,500,0.0217,0.9872,0.0,0.0,0.0,1.0088,3.23
10681,44,550,0.1607,0.9655,-0.4,0.0,0.0,0.7262,16.62
10731,44,600,0.3007,0.093,-0.7,0.0,0.0,-0.3063,17.78
10781,44,650,0.279,0.0,-0.4,0.0,0.0,-0.121,18.29
10835,45,50,0.0973,1.0,0.0,0.0,0.0,1.0973,17.37
10885,45,100,0.2878,0.9784,-0.2,0.0,0.0,1.0661,2.35
10935,45,150,0.021,0.9606,0.0,0.0,0.0,0.9816,3.03
10985,45,200,0.0202,0.9578,-0.1,0.0,0.0,0.878,1.63
11035,45,250,0.0553,0.9567,0.0,0.0,0.0,1.012,12.31
11085,45,300,0.1803,0.8659,-0.5,0.0,0.0,0.5462,21.56
11175,46,50,0.0203,1.0,0.0,0.0,0.0,1.0203,0.0
11225,46,100,0.0229,0.9997,0.0,0.0,0.0,1.0226,0.0
11275,46,150,0.0844,0.9978,0.0,0.0,0.0,1.0821,10.88
11325,46,200,0.0736,0.9965,0.0,0.0,0.0,1.0701,15.77
11375,46,250,0.3716,0.715,0.0,0.0,0.0,1.0866,15.67
11425,46,300,0.2566,0.3304,0.0,0.0,0.0,0.587,14.84
11475,46,350,0.3556,0.0097,0.0,0.0,0.0,0.3653,22.0
11525,46,400,0.6705,0.0,-0.2,0.0,0.0,0.4705,28.9
11609,47,50,0.0207,0.9999,0.0,0.0,0.0,1.0205,0.0
11659,47,100,0.1529,0.9882,-0.2,0.0,0.0,0.9411,20.64
11709,47,150,0.3111,0.6217,0.0,0.0,0.0,0.9328,16.05
11759,47,200,0.2779,0.0,0.0,0.0,0.0,0.2779,18.11
11809,47,250,0.1262,0.0,0.0,0.0,0.0,0.1262,0.0
11859,47,300,0.0282,0.0,0.0,0.0,0.0,0.0282,6.21
11932,48,50,0.1069,0.9997,0.0,0.0,0.0,1.1066,19.09
11982,48,100,0.4099,0.4068,-0.5,0.0,0.0,0.3167,24.56
12079,49,50,0.1186,0.9997,0.0,0.0,0.0,1.1183,16.72
12129,49,100,0.3805,0.7521,-0.2,0.0,0.0,0.9326,22.63
12179,49,150,0.5253,0.0,0.0,0.0,0.0,0.5253,24.41
12238,50,50,0.0204,1.0,0.0,0.0,0.0,1.0204,0.19
12288,50,100,0.0832,0.9994,0.0,0.0,0.0,1.0826,12.2
12338,50,150,0.191,0.9895,-0.2,0.0,0.0,0.9805,15.59
12388,50,200,0.1906,0.0586,0.0,0.0,0.0,0.2492,7.46
12486,51,50,0.0742,0.9998,0.0,0.0,0.0,1.074,11.38
12536,51,100,0.2593,0.9804,-0.3,0.0,0.0,0.9397,20.05
12586,51,150,0.7735,0.4547,-0.3,0.0,0.0,0.9282,30.59
12636,51,200,0.7303,0.2483,0.0,0.0,0.0,0.9786,27.45
12722,52,50,0.1301,0.9954,-0.1,0.0,0.0,1.0255,20.0
12772,52,100,0.4712,0.577,-0.1,0.0,0.0,0.9482,21.2
12822,52,150,0.4021,0.0338,0.0,0.0,0.0,0.4359,20.75
12905,53,50,0.0191,1.0,0.0,0.0,0.0,1.0191,0.35
12955,53,100,0.0207,1.0,0.0,0.0,0.0,1.0207,0.35
13005,53,150,0.022,1.0,0.0,0.0,0.0,1.022,0.49
13055,53,200,0.0238,1.0,0.0,0.0,0.0,1.0238,5.09
13105,53,250,0.1749,0.9929,0.0,0.0,0.0,1.1678,14.44
13155,53,300,0.2738,0.5682,0.0,0.0,0.0,0.842,17.16
13205,53,350,0.6686,0.2366,0.0,0.0,0.0,0.9052,33.58
13278,54,50,0.0198,1.0,0.0,0.0,0.0,1.0198,0.46
13371,55,50,0.0474,0.9999,0.0,0.0,0.0,1.0473,13.72
13421,55,100,0.1804,0.9991,0.0,0.0,0.0,1.1795,15.13
13471,55,150,0.2078,0.9995,0.0,0.0,0.0,1.2072,16.17
13521,55,200,0.3897,0.9992,0.0,0.0,0.0,1.389,20.35
13571,55,250,0.4922,0.9939,-0.6,0.0,0.0,0.8862,18.57
13621,55,300,0.2779,0.9908,-0.4,0.0,0.0,0.8687,13.62
13671,55,350,0.1623,0.9919,-0.2,0.0,0.0,0.9543,15.74
13721,55,400,0.3212,0.5601,-0.6,0.0,0.0,0.2813,18.35
13771,55,450,0.62,0.0,-0.7,0.0,0.0,-0.08,32.12
13848,56,50,0.0208,0.9999,0.0,0.0,0.0,1.0208,0.0
13898,56,100,0.0437,0.9994,0.0,0.0,0.0,1.0431,7.79
13982,58,50,0.0194,1.0,0.0,0.0,0.0,1.0194,0.18
14032,58,100,0.0216,1.0,0.0,0.0,0.0,1.0216,0.0
14082,58,150,0.0233,1.0,0.0,0.0,0.0,1.0233,4.49
14132,58,200,0.0602,0.9996,0.0,0.0,0.0,1.0598,9.8
14182,58,250,0.3432,0.9931,0.0,0.0,0.0,1.3363,27.72
14232,58,300,0.7102,0.587,0.0,0.0,0.0,1.2972,29.52
14282,58,350,0.8951,0.9498,-0.5,0.0,0.0,1.3449,34.8
14332,58,400,0.8365,0.975,-0.2,0.0,0.0,1.6115,27.51
14382,58,450,0.661,0.1802,0.0,0.0,0.0,0.8413,18.34
14432,58,500,0.3804,0.2866,0.0,0.0,0.0,0.667,19.21
14483,59,50,0.097,0.998,-0.1,0.0,0.0,0.995,14.71
14533,59,100,0.3097,0.9798,-0.2,0.0,0.0,1.0895,21.57
14583,59,150,0.6077,0.4836,-0.3,0.0,0.0,0.7913,28.73
14633,59,200,0.9039,0.0533,0.0,0.0,0.0,0.9572,36.22
14691,60,50,0.0375,0.9999,0.0,0.0,0.0,1.0373,7.29
14741,60,100,0.1758,0.9963,-0.2,0.0,0.0,0.9722,18.95
14791,60,150,0.5173,0.9937,-0.4,0.0,0.0,1.1109,25.87
14841,60,200,0.8316,0.9639,-0.2,0.0,0.0,1.5954,32.39
14891,60,250,0.8716,0.8058,0.0,0.0,0.0,1.6774,33.27
14941,60,300,0.9634,0.7701,-1.1,0.0,0.0,0.6336,37.84
15016,61,50,0.019,1.0,0.0,0.0,0.0,1.019,0.48
15066,61,100,0.02,1.0,0.0,0.0,0.0,1.0199,1.35
15116,61,150,0.0202,1.0,0.0,0.0,0.0,1.0202,0.0
15166,61,200,0.0202,0.9998,0.0,0.0,0.0,1.0201,0.0
15216,61,250,0.0196,0.9997,0.0,0.0,0.0,1.0192,0.0
15266,61,300,0.0199,0.9995,0.0,0.0,0.0,1.0194,0.55
15316,61,350,0.0206,0.9992,0.0,0.0,0.0,1.0198,0.0
15366,61,400,0.0201,0.9991,0.0,0.0,0.0,1.0192,1.0
15416,61,450,0.0204,0.9994,0.0,0.0,0.0,1.0197,1.32
15466,61,500,0.0198,0.9995,0.0,0.0,0.0,1.0192,0.0
15516,61,550,0.0193,0.9993,0.0,0.0,0.0,1.0186,0.36
15566,61,600,0.0214,0.9995,0.0,0.0,0.0,1.0209,0.02
15616,61,650,0.0197,0.9999,0.0,0.0,0.0,1.0196,0.0
15666,61,700,0.1497,0.9973,-0.1,0.0,0.0,1.047,17.2
15745,62,50,0.1065,0.9991,0.0,0.0,0.0,1.1056,18.19
15795,62,100,0.3232,0.9988,-0.1,0.0,0.0,1.222,23.75
15845,62,150,0.7352,0.9748,-0.5,0.0,0.0,1.2101,25.41
15895,62,200,0.6416,0.9885,-0.4,0.0,0.0,1.2301,24.41
15945,62,250,0.4913,0.9963,-0.6,0.0,0.0,0.8876,28.29
15995,62,300,0.8371,0.9427,-0.4,0.0,0.0,1.3798,30.54
16047,63,50,0.0193,1.0,0.0,0.0,0.0,1.0193,0.95
16097,63,100,0.0213,1.0,0.0,0.0,0.0,1.0213,0.0
16147,63,150,0.0193,1.0,0.0,0.0,0.0,1.0192,0.63
16197,63,200,0.0193,1.0,0.0,0.0,0.0,1.0192,0.03
16247,63,250,0.0233,0.9998,0.0,0.0,0.0,1.0231,0.34
16297,63,300,0.0187,0.9992,0.0,0.0,0.0,1.0179,1.38
16347,63,350,0.0465,0.9993,0.0,0.0,0.0,1.0458,7.63
16397,63,400,0.2062,0.9899,-0.1,0.0,0.0,1.0961,13.76
16447,63,450,0.1224,0.9715,-0.4,0.0,0.0,0.6939,10.2
16497,63,500,0.126,0.906,-0.5,0.0,0.0,0.532,8.58
16547,63,550,0.1741,0.0,-0.3,0.0,0.0,-0.1259,6.75
16597,63,600,0.0843,0.0,-0.2,0.0,0.0,-0.1157,12.97
16647,63,650,0.2518,0.0,-0.3,0.0,0.0,-0.0482,14.27
16697,63,700,0.3698,0.0,0.0,0.0,0.0,0.3698,23.79
16747,63,750,0.881,0.0,-0.3,0.0,0.0,0.581,38.71
16841,64,50,0.03,0.9999,0.0,0.0,0.0,1.0299,9.49
16891,64,100,0.1367,0.9987,-0.1,0.0,0.0,1.0354,15.35
16941,64,150,0.2385,0.6526,-0.2,0.0,0.0,0.6911,13.06
16991,64,200,0.2762,0.0,-0.1,0.0,0.0,0.1762,22.22
17041,64,250,0.5336,0.0161,0.0,0.0,0.0,0.5496,26.69
17121,65,50,0.0551,1.0,0.0,0.0,0.0,1.0551,11.15
17171,65,100,0.2781,0.9972,-0.3,0.0,0.0,0.9752,19.17
17221,65,150,0.4754,0.9914,-0.3,0.0,0.0,1.1668,26.66
17271,65,200,0.7514,0.9485,-0.7,0.0,0.0,0.9999,30.3
17370,66,50,0.0397,0.9997,0.0,0.0,0.0,1.0395,13.02
17420,66,100,0.2699,0.9988,-0.2,0.0,0.0,1.0688,18.78
17470,66,150,0.3767,0.8331,-0.1,0.0,0.0,1.1099,27.02
17554,67,50,0.0749,0.9999,0.0,0.0,0.0,1.0748,11.5
17604,67,100,0.2512,0.9853,-0.4,0.0,0.0,0.8365,15.96
17654,67,150,0.2899,0.6442,-0.6,0.0,0.0,0.334,19.24
17704,67,200,0.2903,0.0,-0.7,0.0,0.0,-0.4097,16.94
17754,67,250,0.4386,0.0,0.0,0.0,0.0,0.4386,25.81
17812,68,50,0.0187,1.0,0.0,0.0,0.0,1.0187,0.0
17862,68,100,0.0192,1.0,0.0,0.0,0.0,1.0192,1.99
17912,68,150,0.0195,1.0,0.0,0.0,0.0,1.0195,0.59
17962,68,200,0.0187,1.0,0.0,0.0,0.0,1.0187,0.0
18012,68,250,0.0188,1.0,0.0,0.0,0.0,1.0188,0.01
18062,68,300,0.0187,0.9999,0.0,0.0,0.0,1.0187,0.83
18112,68,350,0.0186,0.9999,0.0,0.0,0.0,1.0185,0.0
18162,68,400,0.0189,0.9998,0.0,0.0,0.0,1.0187,0.0
18212,68,450,0.0186,0.9998,0.0,0.0,0.0,1.0183,0.0
18262,68,500,0.0186,0.9997,0.0,0.0,0.0,1.0183,0.0
18312,68,550,0.0185,0.9997,0.0,0.0,0.0,1.0182,0.0
18362,68,600,0.0189,0.9997,0.0,0.0,0.0,1.0186,0.0
18412,68,650,0.0186,0.9996,0.0,0.0,0.0,1.0182,0.04
18462,68,700,0.019,0.9996,0.0,0.0,0.0,1.0186,0.0
18512,68,750,0.0184,0.9996,0.0,0.0,0.0,1.018,0.0
18562,68,800,0.0185,0.9996,0.0,0.0,0.0,1.0181,0.0
18612,68,850,0.0185,0.9996,0.0,0.0,0.0,1.0181,0.0
18662,68,900,0.0187,0.9995,0.0,0.0,0.0,1.0182,0.0
18712,68,950,0.0185,0.9995,0.0,0.0,0.0,1.0179,0.0
18762,68,1000,0.0184,0.9995,0.0,0.0,0.0,1.0178,0.01
18812,68,1050,0.0184,0.9995,0.0,0.0,0.0,1.0179,0.0
18862,68,1100,0.0184,0.9994,0.0,0.0,0.0,1.0178,0.0
18912,68,1150,0.0187,0.9994,0.0,0.0,0.0,1.0181,0.0
18962,68,1200,0.0184,0.9994,0.0,0.0,0.0,1.0178,0.0
19012,68,1250,0.0186,0.9994,0.0,0.0,0.0,1.0179,0.0
19062,68,1300,0.0186,0.9993,0.0,0.0,0.0,1.0179,0.0
19112,68,1350,0.019,0.9993,0.0,0.0,0.0,1.0183,0.0
19162,68,1400,0.0184,0.9993,0.0,0.0,0.0,1.0177,0.0
19212,68,1450,0.0184,0.9993,0.0,0.0,0.0,1.0177,0.3
19262,68,1500,0.0185,0.9993,0.0,0.0,0.0,1.0178,0.0
19312,68,1550,0.0185,0.9993,0.0,0.0,0.0,1.0178,0.0
19362,68,1600,0.0184,0.9993,0.0,0.0,0.0,1.0177,0.0
19412,68,1650,0.0184,0.9993,0.0,0.0,0.0,1.0176,0.0
19462,68,1700,0.0187,0.9992,0.0,0.0,0.0,1.0179,0.0
19512,68,1750,0.0184,0.9992,0.0,0.0,0.0,1.0176,0.0
19562,68,1800,0.0184,0.9992,0.0,0.0,0.0,1.0175,0.0
19612,68,1850,0.0183,0.9992,0.0,0.0,0.0,1.0175,0.0
19662,68,1900,0.0187,0.9992,0.0,0.0,0.0,1.0179,0.0
19712,68,1950,0.0186,0.9992,0.0,0.0,0.0,1.0179,0.0
19762,68,2000,0.0184,0.9992,0.0,0.0,0.0,1.0175,0.0
19812,69,50,0.0783,0.9984,0.0,0.0,0.0,1.0767,11.08
19862,69,100,0.1484,0.9906,-0.3,0.0,0.0,0.839,9.11
19912,69,150,0.1035,0.0783,-0.1,0.0,0.0,0.0819,14.19
19962,69,200,0.4284,0.0,-0.6,0.0,0.0,-0.1716,24.72
20022,70,50,0.059,0.9992,0.0,0.0,0.0,1.0582,8.16
20072,70,100,0.2058,0.9959,-0.4,0.0,0.0,0.8017,19.49
20122,70,150,0.2868,0.9851,-0.3,0.0,0.0,0.9719,18.62
