global_step,episode,step_in_ep,avg_r_speed,avg_r_orientation,avg_r_lane,avg_r_collision,avg_r_offroad,avg_r_total,speed_kmh
50,1,50,0.055,0.9997,0.0,0.0,0.0,1.0547,8.63
100,1,100,0.1645,0.9998,0.0,0.0,0.0,1.1643,16.78
150,1,150,0.0441,0.9997,0.0,0.0,0.0,1.0438,0.38
200,1,200,0.0278,0.9994,0.0,0.0,0.0,1.0272,7.81
250,1,250,0.1485,0.999,0.0,0.0,0.0,1.1474,14.31
300,1,300,0.3584,0.999,0.0,0.0,0.0,1.3573,21.8
350,1,350,0.5134,0.621,0.0,0.0,0.0,1.1344,25.79
400,1,400,0.6605,0.5348,0.0,0.0,0.0,1.1954,24.73
452,2,50,0.0337,1.0,0.0,0.0,0.0,1.0337,11.78
502,2,100,0.1959,0.9975,-0.2,0.0,0.0,0.9934,11.75
552,2,150,0.257,0.9983,0.0,0.0,0.0,1.2553,15.56
602,2,200,0.5269,0.9972,0.0,0.0,0.0,1.5241,29.56
652,2,250,0.8626,0.9968,0.0,0.0,0.0,1.8595,31.15
702,2,300,0.6665,0.9981,0.0,0.0,0.0,1.6646,24.17
752,2,350,0.7948,0.6592,0.0,0.0,0.0,1.454,34.84
802,2,400,0.8346,0.9667,-0.1,0.0,0.0,1.7013,32.19
852,2,450,0.8552,0.9434,-0.4,0.0,0.0,1.3986,23.87
914,3,50,0.1105,0.9983,0.0,0.0,0.0,1.1088,16.4
964,3,100,0.1664,0.5523,0.0,0.0,0.0,0.7187,9.46
1014,3,150,0.3836,0.0604,0.0,0.0,0.0,0.444,27.33
1101,4,50,0.0246,1.0,0.0,0.0,0.0,1.0246,5.41
1151,4,100,0.2678,0.9955,-0.2,0.0,0.0,1.0633,19.81
1201,4,150,0.6959,0.8833,-0.6,0.0,0.0,0.9792,35.17
1263,5,50,0.0778,0.9999,0.0,0.0,0.0,1.0777,17.28
1313,5,100,0.3464,0.9895,-0.2,0.0,0.0,1.1359,21.63
1400,6,50,0.0848,1.0,0.0,0.0,0.0,1.0848,15.22
1450,6,100,0.3327,0.9973,0.0,0.0,0.0,1.33,24.1
1500,6,150,0.5332,0.9929,0.0,0.0,0.0,1.526,23.96
1550,6,200,0.6627,0.9736,-0.5,0.0,0.0,1.1363,29.74
1600,6,250,0.7565,0.976,-0.5,0.0,0.0,1.2325,24.61
1650,6,300,0.4414,0.5734,0.0,0.0,0.0,1.0148,27.87
1708,7,50,0.127,0.9992,0.0,0.0,0.0,1.1262,18.19
1758,7,100,0.2463,0.9962,-0.2,0.0,0.0,1.0425,18.14
1808,7,150,0.3632,0.9994,0.0,0.0,0.0,1.3626,21.58
1858,7,200,0.7198,0.9952,-0.5,0.0,0.0,1.215,29.86
1950,8,50,0.0216,1.0,0.0,0.0,0.0,1.0215,0.0
2000,8,100,0.02,1.0,0.0,0.0,0.0,1.02,0.5
2050,8,150,0.1673,0.9981,-0.1,0.0,0.0,1.0654,16.18
2132,9,50,0.0193,1.0,0.0,0.0,0.0,1.0193,0.36
2182,9,100,0.0214,1.0,0.0,0.0,0.0,1.0214,2.32
2232,9,150,0.0237,1.0,0.0,0.0,0.0,1.0237,4.89
2282,9,200,0.2138,0.9986,-0.1,0.0,0.0,1.1124,18.12
2377,10,50,0.15,0.9942,-0.1,0.0,0.0,1.0442,21.39
2427,10,100,0.6071,0.9803,-0.3,0.0,0.0,1.2874,28.83
2526,11,50,0.0194,1.0,0.0,0.0,0.0,1.0194,0.88
2576,11,100,0.026,1.0,0.0,0.0,0.0,1.026,5.2
2626,11,150,0.3292,0.9991,0.0,0.0,0.0,1.3283,23.27
2676,11,200,0.773,0.9658,-0.2,0.0,0.0,1.5388,30.32
2728,12,50,0.0844,0.9999,0.0,0.0,0.0,1.0843,13.93
2778,12,100,0.2587,0.9942,-0.2,0.0,0.0,1.053,18.61
2828,12,150,0.6763,0.9707,-0.2,0.0,0.0,1.447,32.53
2917,13,50,0.0858,0.9999,0.0,0.0,0.0,1.0857,16.74
2967,13,100,0.3106,0.988,-0.3,0.0,0.0,0.9987,22.49
3017,13,150,0.6187,0.9972,0.0,0.0,0.0,1.6159,26.42
3067,13,200,0.9082,0.5323,-1.1,0.0,0.0,0.3405,38.38
3135,14,50,0.0971,0.9999,0.0,0.0,0.0,1.0971,16.84
3185,14,100,0.5127,0.9669,0.0,0.0,0.0,1.4795,30.07
3270,15,50,0.0368,0.9999,0.0,0.0,0.0,1.0367,10.41
3320,15,100,0.244,0.9954,-0.2,0.0,0.0,1.0394,23.15
3370,15,150,0.4585,0.9832,-0.2,0.0,0.0,1.2417,21.69
3420,15,200,0.6488,0.642,0.0,0.0,0.0,1.2908,31.07
3488,16,50,0.1526,0.9995,0.0,0.0,0.0,1.1521,22.22
3538,16,100,0.705,0.6757,-0.7,0.0,0.0,0.6807,28.33
